Case ID,Case Name,Company ID,Industry,Challenge,Solution Applied,Products Used,Outcome,Metrics,Lessons Learned,Last Updated,Notes
CASE-001,Sector pattern case — PT Jalur Nugraha Ekakurir / Risk Ops,COMP-001,Transportasi & Logistik,Mempertahankan efisiensi operasional skala masif,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,"confidence=0.86 | sources=Website, Media | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-001 | solution=SOL-001 | dps=v1.0"
CASE-002,Sector pattern case — PT Chandra Asri Pacific Tbk / Risk Ops,COMP-002,Manufaktur,Transisi energi dan dekarbonisasi operasional pabrik,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Laporan Keberlanjutan | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-002 | solution=SOL-001 | dps=v1.0
CASE-003,Sector pattern case — PT Kredit Utama Fintech Indonesia / Risk Ops,COMP-003,Teknologi,Menekan angka NPL akibat makroekonomi,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Analisis Data Pasar | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-003 | solution=SOL-001 | dps=v1.0
CASE-004,Sector pattern case — PT Bayan Resources Tbk / Risk Ops,COMP-004,Energi,Menekan biaya logistik pengangkutan,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Laporan Tahunan | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-004 | solution=SOL-001 | dps=v1.0
CASE-005,Sector pattern case — PT Mitra Adiperkasa Tbk / Risk Ops,COMP-005,Ritel,Manajemen SDM dengan tingkat turnover tinggi di ritel,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Berita Industri | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-005 | solution=SOL-001 | dps=v1.0
CASE-006,Sector pattern case — PT Bank Raya Indonesia Tbk / Risk Ops,COMP-006,Keuangan,Keamanan transaksi digital,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Website | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-006 | solution=SOL-001 | dps=v1.0
CASE-007,Sector pattern case — PT Indofood CBP Sukses Makmur Tbk / Risk Ops,COMP-007,Manufaktur,Standardisasi fasilitas operasional di puluhan pabrik,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Laporan Tahunan | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-007 | solution=SOL-001 | dps=v1.0
CASE-008,Sector pattern case — PT Citra Van Titipan Kilat / Risk Ops,COMP-008,Transportasi & Logistik,Modernisasi infrastruktur jaringan cabang,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,"confidence=0.86 | sources=Website, Asperindo | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-008 | solution=SOL-001 | dps=v1.0"
CASE-009,Sector pattern case — PT Adaro Energy Indonesia Tbk / Risk Ops,COMP-009,Energi,Efisiensi energi pada wilayah operasional terpencil,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,"confidence=0.86 | sources=RUPTL, Berita | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-009 | solution=SOL-001 | dps=v1.0"
CASE-010,Sector pattern case — PT GoTo Gojek Tokopedia Tbk / Risk Ops,COMP-010,Teknologi,Menjaga efisiensi burn rate namun CX tetap tinggi,Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,confidence=0.86 | sources=Laporan Keuangan | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-010 | solution=SOL-001 | dps=v1.0
CASE-011,Sector pattern case — PT Bank Digital Nusantara / Risk Ops,COMP-011,Perbankan,"Kompetisi ketat dari fintech dan bank digital lain, compliance OJK open banking",Risk & Collections Modernization Program — PAIN-001,,Illustrative pattern only: outcomes must be measured per engagement; no fabricated ROI claim.,"NPL, CoR, Coverage ratio",Link company context + pain/solution spine; keep provenance; avoid invented private results.,2026-07-10,"confidence=0.86 | sources=Website, Annual Report | retrieved=2026-07-10 | version=knowledge-v2.0-batch-008-case | batch=Batch-008 | class=illustrative_sector_case_pattern | NOT_a_claimed_named_project_outcome | company=COMP-011 | solution=SOL-001 | dps=v1.0"
