Product ID,Product Name,Product Category,Product Sub Category,Product Type,Product Description,Business Problem Solved,Target Industry,Target Company Size,Target Department,Ideal Customer Profile,Key Features,Key Benefits,Customer Value Proposition,Business Outcome,Implementation Time,Implementation Complexity,Required Resources,Pricing Model,Pricing Range,Estimated Gross Margin,Sales Cycle,Typical Decision Maker,Buying Trigger,Common Objections,Objection Handling,Cross Sell Products,Upsell Products,Related Pain Point IDs,Related Solution IDs,Success Metrics,Product Status,Owner Business Unit,Reference Project,Last Updated,Notes
PROD-001,BPO Omnichannel CX & Voicebot,Outsourcing,Contact Center,Service,Pengelolaan layanan pelanggan 24/7 memadukan agen manusia dan AI,"Antrean komplain pelanggan panjang, CSAT rendah, biaya staf mahal","Telekomunikasi, E-commerce, Finansial",Enterprise,Customer Service,B2C dengan >10.000 interaksi per hari,"AI Routing, Sentiment Analysis, 24/7 Ops","Biaya turun 30%, SLA respons < 1 menit","""Skalabilitas instan tanpa beban rekrutmen""","CSAT naik, operasional efisien",2 Bulan,Medium,"CX Consultant, Agent, QA",Harga per Seat / Per Transaksi,Rp6 Jt - Rp10 Jt / Seat / Bulan,28%,3-6 Bulan,VP Customer Experience,Lonjakan komplain saat rilis produk/promo,Takut agen AI tidak empati,"Tawarkan skema hibrida (Bot untuk FAQ, Manusia untuk kompleks)",PROD-005,Analytics Dashboard,PAIN-089,SOL-001,"CSAT > 90%, AHT turun",Active,BPO Division,Tokopedia CS,2026-07-10,Sangat laris untuk E-commerce
PROD-002,Managed Cloud IaaS (Lokal),IT Services,Cloud Infrastructure,Service,Infrastruktur komputasi virtual terkelola dengan Data Center di Indonesia,"Server on-premise lambat, downtime sering, capex tinggi","Logistik, Finansial, Ritel","Medium, Enterprise",IT Dept,Perusahaan dengan traffic aplikasi fluktuatif,"Auto-scaling, 99.9% Uptime, Data Sovereignty","Bebas perawatan hardware, aman sesuai UU PDP","""Infrastruktur sekelas Enterprise dengan skema Pay-as-you-go""","0 Downtime, fokus pada inovasi software",1 Bulan,High,"Cloud Architect, SysAdmin",Langganan Bulanan (Pay-as-you-go),Rp10 Jt - Rp150 Jt / Bulan,35%,2-4 Bulan,CIO / Head of IT,Akhir masa pakai server fisik (End of Life),Kekhawatiran migrasi gagal,Eksekusi paralel run dan backup penuh sebelum cut-off,PROD-006,DRaaS (Disaster Recovery),PAIN-101,SOL-002,Uptime 99.9%,Active,IT Services,JNE Cloud,2026-07-09,Sesuai regulasi penempatan data lokal
PROD-003,PLTS Atap Korporat (ESCO Model),Energi,Energi Terbarukan,Project & Service,Instalasi panel surya atap dengan skema sewa dan tanpa biaya awal,"Tarif listrik PLN menggerus margin, tuntutan ESG holding","Manufaktur, FMCG, Mall",Enterprise,"Operasional, Fasilitas",Pabrik dengan atap luas yang beroperasi siang hari,"Solar Panel Tier-1, IoT Monitoring, Nol CAPEX","Penurunan biaya utilitas 15%, dekarbonisasi","""Energi hijau yang langsung menghemat uang Anda sejak hari pertama""","Capai target Net Zero, HPP produksi turun",4-6 Bulan,High,"Ahli PLTS, Proj. Manager",Kontrak PPA / Sewa,Diskon 15% dari tarif PLN / kWh,20%,6-12 Bulan,Direktur Operasi,Tekanan dari investor untuk Go Green,Hilangnya skema net-metering mematikan ROI,Integrasikan dengan Battery Storage (BESS),Audit Energi,O&M Maintenance,PAIN-045,SOL-003,kWh dihasilkan sesuai garansi,Active,Green Energy Div,Chandra Asri,2026-07-08,Regulasi Permen ESDM 2/2024 jadi tantangan
PROD-004,BPO Telecollection Terpadu,Outsourcing,Collection,Service,Layanan penagihan utang B2C tersertifikasi OJK menggunakan desk dan field agent,"Angka gagal bayar (NPL) naik, tim internal kurang","Fintech P2P, Multifinance, Bank","Medium, Enterprise",Risk Management,Institusi keuangan dengan portofolio kredit macet besar,"Dialer System otomatis, Agen tersertifikasi AFPI","Recovery rate meningkat, reputasi brand aman","""Maksimalkan pengembalian aset Anda dengan standar kepatuhan tertinggi""","NPL turun, cash flow perusahaan sehat",1 Bulan,Medium,"Collection Manager, Desk Agent",Komisi Persentase (Success Fee),10% - 30% dari dana tertagih,40%,2-3 Bulan,Chief Risk Officer,Lonjakan kredit macet pasca krisis,Takut agen penagih kasar dan viral di medsos,Perekaman seluruh percakapan & audit QA harian,PROD-001,Field Collection,PAIN-033,SOL-004,Recovery Rate > target,Active,BPO Division,Rupiah Cepat,2026-07-07,Sangat dibutuhkan di era daya beli lemah
PROD-005,Payroll Outsourcing & HRIS,Outsourcing,HR & Admin,Service,"Pengambilalihan proses perhitungan gaji, pajak (PPh 21), dan BPJS","Admin HR kewalahan, sering salah hitung pajak & denda BPJS","Ritel, Manufaktur, F&B",Enterprise,Human Resources,Perusahaan >1000 karyawan dengan turnover tinggi,"Software HRIS Cloud, Tax Compliance","Bebas denda pajak, akurasi 100% jaminan","""Serahkan kompleksitas birokrasi, fokus pada budaya kerja""","Kepatuhan hukum terjamin, efisiensi waktu HR 80%",2 Bulan,Medium,"Payroll Specialist, Tax Expert",Harga per Karyawan (Payslip),Rp30 Rb - Rp75 Rb / Karyawan / Bulan,50%,3-6 Bulan,CHRO,Perubahan aturan pajak (TER PPh 21),Migrasi data master historis repot,Tim onboarding dedicated untuk mapping data,PROD-007,Talent Recruitment BPO,PAIN-055,SOL-005,Zero kesalahan transfer & denda,Active,HR Services,Mitra Adiperkasa,2026-07-06,Regulasi UU Cipta Kerja memicu demand
PROD-006,Managed SOC & Cybersecurity,IT Services,Security,Service,"Pusat operasi keamanan yang memantau, mendeteksi, dan merespons ancaman siber 24/7","Rentan serangan ransomware, tidak ada tim sekuriti 24/7","Finansial, Teknologi, Logistik","Medium, Enterprise",IT Security,Entitas pengelola data sensitif (PII),"SIEM Integration, Threat Intelligence, Incident Response",Mencegah kebocoran data miliaran rupiah,"""Tidur nyenyak sementara kami menjaga gerbang digital Anda""","Reputasi aman, operasional tidak terhenti peretas",2 Bulan,High,"Cybersecurity Analyst, Ethical Hacker",Langganan Bulanan,Rp50 Jt - Rp200 Jt / Bulan,45%,3-6 Bulan,CISO,Kasus kebocoran data di industri serupa,Biaya bulanan terlalu mahal,Tunjukkan studi kasus kerugian finansial akibat ransomware,PROD-002,Penetration Testing,PAIN-066,SOL-006,MTTD & MTTR (Mean Time to Detect/Respond) < 1 Jam,Active,IT Services,Bank Raya,2026-07-05,Wajib untuk compliance UU PDP
PROD-007,Facility Management Outsourcing,Outsourcing,General Affairs,Service,"Penyediaan terintegrasi tenaga kebersihan, satpam, resepsionis, dan teknisi gedung","Mutu layanan tidak standar antar cabang, kelola banyak vendor repot","Properti, Ritel, Manufaktur",Enterprise,General Affairs,Memiliki >10 lokasi operasional/pabrik,"Single Point of Contact, SLA Kebersihan, Personil Tersertifikasi","Efisiensi kontrak, manajemen terpusat mudah","""Satu vendor untuk seluruh kebutuhan operasional gedung Anda""","Lingkungan kerja aman, fokus pada bisnis inti",3 Bulan,Medium,"Security Guard, Cleaner, Supervisor",Cost-plus atau Kontrak Tetap (SLA based),Sesuai UMP regional + Management Fee 8-12%,12%,3-6 Bulan,General Affairs Dir,Kontrak vendor eksisting habis/kinerja buruk,Isu penolakan dari warga lokal/preman,Perekrutan 80% warga lokal untuk stabilitas sosial,PROD-005,Driver Outsourcing,PAIN-077,SOL-007,Tingkat komplain fasilitas < 2%,Active,Facility Dept,Indofood,2026-07-04,Margin tipis tapi volume besar
PROD-008,Managed SD-WAN,IT Services,Network,Service,Layanan jaringan Wide Area Network berbasis software yang menghubungkan kantor cabang secara aman,"Koneksi cabang sering putus, routing manual sulit","Logistik, Ritel, Bank",Enterprise,IT Network,Perusahaan dengan >50 cabang di daerah terpencil,"Centralized Dashboard, Multi-Link Bonding, Enkripsi IPSec","Koneksi anti-putus, biaya kuota internet lebih murah","""Jaringan cabang yang cerdas, aman, dan efisien biaya""","Data cabang sinkron real-time, tidak ada loss sales",2 Bulan,High,Network Engineer,Langganan per Titik (Node),Rp2 Jt - Rp5 Jt / Cabang / Bulan,35%,4-8 Bulan,IT Director,Ekspansi buka puluhan cabang baru,Terikat kontrak dengan provider telco lama,"SD-WAN Agnostic, bisa jalan di atas koneksi lama",PROD-002,Managed WiFi Access,PAIN-088,SOL-008,Uptime link cabang >99.5%,Active,IT Services,TIKI,2026-07-03,Solusi vital untuk industri logistik
PROD-009,Solar Hybrid Microgrid,Energi,Energi Terbarukan,Project,Pembangkit listrik tenaga surya hybrid dengan baterai besar (BESS) terpisah dari jaringan PLN,Biaya genset diesel sangat mahal dan logistik solar sulit,"Pertambangan, Perkebunan",Enterprise,Operasional Tambang,Operasional site di pulau terluar/pedalaman,"Heavy-duty Solar PV, Industrial BESS",Penurunan OPEX bahan bakar hingga 60%,"""Kemandirian energi di pedalaman dengan biaya super rendah""",Margin laba operasional site naik drastis,6-9 Bulan,Very High,"EPC Engineer, Ahli Logistik",Turnkey EPC / PPA,Rp100 Miliar+ (Project Based),25%,9-15 Bulan,Direktur Operasi / CEO,Harga minyak mentah/diesel dunia melonjak,Keraguan panel surya cepat rusak karena debu tambang,Penggunaan panel self-cleaning & garansi O&M 10 tahun,PROD-010,Capacity Expansion,PAIN-099,SOL-009,Reduksi konsumsi liter diesel tercapai,Active,Green Energy Div,Adaro,2026-07-02,Logistik baterai ke site jadi tantangan
PROD-010,Dedicated Fleet Logistics,Transportasi,Supply Chain,Service,Penyediaan armada truk didedikasikan lengkap dengan supir dan sistem pelacakan (TMS),"Susah cari truk saat peak season, barang rusak, tak terlacak","Manufaktur, Tambang, Pertanian",Enterprise,Logistik,Distribusi volume besar rutin setiap hari,"TMS Integration, GPS Tracking, Dedicated Driver","Jaminan ketersediaan armada 100%, visibilitas penuh","""Kuasai distribusi logistik Anda tanpa beban aset truk""","On-Time Delivery tercapai, keluhan B2B turun",1 Bulan,Medium,"Fleet Manager, Driver, Dispatcher",Sewa Truk Bulanan,Rp15 Jt - Rp40 Jt / Truk / Bulan,15%,3-6 Bulan,Supply Chain Dir,Sering kena denda dari buyer karena telat kirim,Takut terikat kontrak tahunan jika volume turun,Tawarkan skema hybrid (fixed + pay per trip),PROD-008,Inland Depot Warehousing,PAIN-023,SOL-010,On-Time In-Full (OTIF) > 98%,Active,Logistics Dept,Bayan Resources,2026-07-01,Solusi wajib pasca Zero ODOL 2027
