No,Sheet,Kolom,Keterangan,Contoh
REG-001,Opportunity Analysis,Opportunity ID,ID unik peluang,OPP-000001
REG-002,Opportunity Analysis,Company ID,Referensi ke Company Profile,COMP-000001
REG-003,Opportunity Analysis,Opportunity Name,Nama peluang,Managed Service IT 2027
REG-004,Opportunity Analysis,Opportunity Type,Jenis peluang,New Business
REG-005,Opportunity Analysis,Industry,Industri klien,Telekomunikasi
REG-006,Opportunity Analysis,Business Unit,Unit bisnis yang dituju,IT Infrastructure
REG-007,Opportunity Analysis,Current Situation,Kondisi saat ini,Infrastruktur IT dikelola oleh beberapa vendor
REG-008,Opportunity Analysis,Business Challenge,Tantangan bisnis utama,SLA tidak konsisten dan biaya operasional tinggi
REG-009,Opportunity Analysis,Pain Point,Masalah yang dirasakan klien,"Helpdesk lambat, aset sulit dipantau"
REG-010,Opportunity Analysis,Business Need,Kebutuhan bisnis,Efisiensi operasional dan konsolidasi layanan
REG-011,Opportunity Analysis,Opportunity Description,Ringkasan peluang,Peluang menyediakan Managed Service terintegrasi
REG-012,Opportunity Analysis,Proposed Solution,Solusi yang direkomendasikan,Managed Service + AI Service Desk
REG-013,Opportunity Analysis,Value Proposition,Nilai yang ditawarkan,"SLA meningkat, biaya operasional turun"
REG-014,Opportunity Analysis,Estimated Budget,Estimasi anggaran,Rp5 Miliar
REG-015,Opportunity Analysis,Estimated Revenue,Estimasi nilai kontrak,Rp5 Miliar
REG-016,Opportunity Analysis,Estimated Gross Margin,Estimasi margin,35%
REG-017,Opportunity Analysis,Decision Maker,Pengambil keputusan,IT Director
REG-018,Opportunity Analysis,Influencer,Pihak yang memengaruhi keputusan,Procurement Manager
REG-019,Opportunity Analysis,Procurement Method,Cara pengadaan,Tender
REG-020,Opportunity Analysis,Timeline,Target implementasi,Q4 2026
REG-021,Opportunity Analysis,Competitors,Kompetitor utama,"Vendor A, Vendor B"
REG-022,Opportunity Analysis,Win Strategy,Strategi memenangkan peluang,Tawarkan bundling dan SLA lebih baik
REG-023,Opportunity Analysis,Risks,Risiko utama,Harga kompetitor lebih rendah
REG-024,Opportunity Analysis,Mitigation Plan,Mitigasi risiko,Fokus pada value dan ROI
REG-025,Opportunity Analysis,Cross Selling Opportunity,Peluang cross selling,"HRIS, Asset Management"
REG-026,Opportunity Analysis,Upselling Opportunity,Peluang upselling,AI Analytics
REG-027,Opportunity Analysis,Probability (%),Probabilitas menang,75
REG-028,Opportunity Analysis,Opportunity Score,Skor peluang (0–100),88
REG-029,Opportunity Analysis,Next Action,Langkah berikutnya,Jadwalkan meeting dengan IT Director
REG-030,Opportunity Analysis,Opportunity Status,Status peluang,Proposal Submitted
REG-031,Opportunity Analysis,Owner,PIC internal,Ary Wibowo
REG-032,Opportunity Analysis,Last Updated,Update terakhir,2026-07-10
REG-033,Opportunity Analysis,Notes,Catatan tambahan,Menunggu jadwal presentasi
REG-034,Company Profile,Company ID,ID unik perusahaan,COMP-000001
REG-035,Company Profile,Company Name,Nama perusahaan,PT Telkom Indonesia
REG-036,Company Profile,Alias,Nama singkat / brand,Telkom
REG-037,Company Profile,Industry ID,Referensi ke master industri,IND-000001
REG-038,Company Profile,Industry,Nama industri,Telekomunikasi
REG-039,Company Profile,Sub Industry,Sub kategori,Digital Infrastructure
REG-040,Company Profile,Company Type,"BUMN, Swasta, Startup, dll",BUMN
REG-041,Company Profile,Headquarters,Kota kantor pusat,Jakarta
REG-042,Company Profile,Country,Negara,Indonesia
REG-043,Company Profile,Website,Website resmi,www.telkom.co.id
REG-044,Company Profile,LinkedIn,URL LinkedIn perusahaan,linkedin.com/company/...
REG-045,Company Profile,Company Size,"Kategori (Small, Medium, Enterprise)",Enterprise
REG-046,Company Profile,Employee Count,Jumlah karyawan,24
REG-047,Company Profile,Annual Revenue Estimate,Estimasi omzet tahunan,Rp150 Triliun
REG-048,Company Profile,Business Description,Deskripsi singkat bisnis,Penyedia layanan telekomunikasi dan digital
REG-049,Company Profile,Main Products/Services,Produk atau layanan utama,"Internet, Data Center, Cloud"
REG-050,Company Profile,Current Technologies,Teknologi yang digunakan,"SAP, Microsoft 365, Azure"
REG-051,Company Profile,Branch Count,Jumlah cabang,52
REG-052,Company Profile,Operating Regions,Wilayah operasional,Seluruh Indonesia
REG-053,Company Profile,Decision Maker Level,Level pengambil keputusan,Director
REG-054,Company Profile,Existing Vendor,Vendor yang sudah bekerja sama,"IBM, Accenture"
REG-055,Company Profile,Existing Relationship,Status hubungan,Existing Client
REG-056,Company Profile,Potential Score,Skor potensi bisnis (0–100),92
REG-057,Company Profile,Strategic Priority,Prioritas,High
REG-058,Company Profile,Business Challenges,Tantangan utama,Efisiensi operasional
REG-059,Company Profile,Known Pain Points,Pain point yang sudah diketahui,"Helpdesk lambat, Asset tidak terpusat"
REG-060,Company Profile,Potential Needs,Kebutuhan potensial,"Managed Service, AI Agent"
REG-061,Company Profile,Cross Selling Potential,Potensi cross selling,Sangat Tinggi
REG-062,Company Profile,Upselling Potential,Potensi upselling,Tinggi
REG-063,Company Profile,Risk Level,Risiko peluang,Medium
REG-064,Company Profile,Last Updated,Tanggal update terakhir,2026-07-10
REG-065,Company Profile,Data Source,Sumber data,"Website, Annual Report, Meeting"
REG-066,Company Profile,Notes,Catatan tambahan,Sedang ekspansi data center
REG-067,Product Catalog,Product ID,ID unik produk,PROD-000001
REG-068,Product Catalog,Product Name,Nama produk atau layanan,Managed IT Service
REG-069,Product Catalog,Product Category,Kategori utama produk,IT Services
REG-070,Product Catalog,Product Sub Category,Sub kategori produk,Infrastructure Management
REG-071,Product Catalog,Product Type,Jenis produk,Service
REG-072,Product Catalog,Product Description,Penjelasan singkat produk,Layanan pengelolaan infrastruktur IT secara end-to-end
REG-073,Product Catalog,Business Problem Solved,Masalah bisnis yang diselesaikan,Tingginya downtime dan lambatnya respon IT
REG-074,Product Catalog,Target Industry,Industri yang menjadi target,"Manufacturing, Banking, Telecommunication"
REG-075,Product Catalog,Target Company Size,Ukuran perusahaan yang cocok,Enterprise
REG-076,Product Catalog,Target Department,Departemen pengguna,IT Department
REG-077,Product Catalog,Ideal Customer Profile,Profil pelanggan ideal,Perusahaan dengan lebih dari 500 karyawan dan multi lokasi
REG-078,Product Catalog,Key Features,Fitur utama produk,"Helpdesk 24/7, Preventive Maintenance, Asset Management"
REG-079,Product Catalog,Key Benefits,Manfaat utama,Efisiensi operasional dan peningkatan SLA
REG-080,Product Catalog,Customer Value Proposition,Nilai yang diterima pelanggan,Menurunkan biaya operasional hingga 20%
REG-081,Product Catalog,Business Outcome,Dampak bisnis yang diharapkan,Downtime turun dan produktivitas meningkat
REG-082,Product Catalog,Implementation Time,Lama implementasi,3 Bulan
REG-083,Product Catalog,Implementation Complexity,Tingkat kompleksitas implementasi,Medium
REG-084,Product Catalog,Required Resources,Sumber daya yang dibutuhkan,"Engineer, Service Manager, Helpdesk"
REG-085,Product Catalog,Pricing Model,Model penjualan,Monthly Subscription
REG-086,Product Catalog,Pricing Range,Kisaran harga,Rp150.000 - Rp300.000 / Device / Bulan
REG-087,Product Catalog,Estimated Gross Margin,Estimasi margin,40%
REG-088,Product Catalog,Sales Cycle,Rata-rata lama penjualan,3–6 Bulan
REG-089,Product Catalog,Typical Decision Maker,Pengambil keputusan,IT Director
