Pain ID,Pain Point,Pain Category,Industry ID,Industry,Business Function,Department,Description,Symptoms,Root Cause,Business Impact,Operational Impact,Financial Impact,Risk Level,Severity,Frequency,Urgency,Typical Customer Statement,Trigger Events,Discovery Questions,KPI Affected,Related Product IDs,Related Solution IDs,Business Value After Solved,Typical ROI,Success Metrics,Difficulty to Solve,Related Case IDs,References,Last Updated,Notes
PAIN-001,High NPL / asset quality pressure in consumer credit,Credit Risk,IND-000002,Banking,Risk,Risk Management,Rising non-performing loans reduce profitability and capital flexibility.,"NPL uptick, higher provisions, collections backlog",Income shocks + underwriting gaps + collection capacity limits,"Lower ROE, higher CoR","Collections overtime, strained operations",Higher provisions and funding costs,High,High,Cyclical,High,Our NPL is climbing faster than we planned.,"Rate shocks, recession, policy changes",Which segments drive NPL formation?,"NPL, CoR, Coverage ratio",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"NPL, CoR, Coverage ratio",Medium-High,,SRC-000010;SRC-000004;SRC-000001,2026-07-10,confidence=0.92 | sources=SRC-000010;SRC-000004;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-002,Fragmented customer data across banking channels,Data,IND-000002,Banking,Marketing/Data,CRM / Analytics,"Customer data siloed across core, cards, mobile, and branches.","Inconsistent KYC attributes, poor campaign targeting",Historical system sprawl without master data governance,"Missed cross-sell, weak personalization",Manual reconciliation of customer views,Lower marketing ROI,Medium,High,Continuous,High,We cannot see one customer across products.,"Digital growth, PDP compliance",Where is the system of record for customer identity?,"Cross-sell rate, campaign response",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"Cross-sell rate, campaign response",Medium-High,,SRC-000010;SRC-000005;SRC-000004,2026-07-10,confidence=0.90 | sources=SRC-000010;SRC-000005;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-003,Core system change risk blocking product velocity,Technology,IND-000002,Banking,IT,IT Applications,Product launches delayed by brittle core change windows.,"Long release lead times, weekend freezes",Monolithic cores and scarce SME capacity,Lost competitiveness vs digital banks,High project failure risk,Delayed revenue from new products,High,High,Continuous,High,Every product change needs a core project.,Digital bank competition,What products require core coupling?,Time-to-market,,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,Time-to-market,Medium-High,,SRC-000010;SRC-000005;SRC-000004,2026-07-10,confidence=0.89 | sources=SRC-000010;SRC-000005;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-004,KYC exception queues slowing digital onboarding,Compliance Ops,IND-000030,Fintech & Digital Finance,Operations,Compliance Ops,Automated KYC still leaves large exception backlogs.,"Long onboarding TAT, customer drop-off",Document quality + model edge cases + staffing,Lower conversion,Ops overtime,CAC rises,Medium,High,Continuous,High,Our onboarding funnel dies in KYC review.,User growth spikes,What % of cases need human review?,"STP rate, onboarding TAT",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"STP rate, onboarding TAT",Medium-High,,SRC-000010;SRC-000004,2026-07-10,confidence=0.91 | sources=SRC-000010;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-005,Claims cycle time too long for customer NPS,Operations,IND-000028,Insurance,Claims,Claims,Claims take too long from FNOL to settlement.,"Aging claims, complaint spikes","Incomplete docs, manual adjudication, capacity","Churn risk, regulator attention",Backlogs,Loss adjustment expense,Medium,High,Continuous,High,Customers wait too long for claims payment.,"Cat events, digital expectations",Where are the biggest bottlenecks?,"Claims cycle time, NPS",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"Claims cycle time, NPS",Medium-High,,SRC-000010;SRC-000004,2026-07-10,confidence=0.90 | sources=SRC-000010;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-006,Policy administration backlog after product launches,Operations,IND-000028,Insurance,Operations,Policy Admin,New business and endorsements backlog after launches.,"Queue aging, error rates",Process not industrialized; systems rigid,Service complaints,Overtime,Higher ops cost,Medium,Medium,Peak,Medium,Endorsements pile up after every launch.,New product waves,Which steps are manual?,"TAT, error rate",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"TAT, error rate",Medium-High,,SRC-000010;SRC-000011,2026-07-10,confidence=0.88 | sources=SRC-000010;SRC-000011 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-007,Network densification cost vs ARPU pressure,Economics,IND-000003,Telecommunications,Network,Network Engineering,Need more capacity while ARPU stagnates.,"Congestion, capex intensity",Traffic growth + price competition,Margin pressure,Complex rollouts,Higher capex/opex,High,High,Continuous,High,We spend more on network than we monetize.,Video traffic growth,Which sites under-earn?,"ARPU, cost per GB",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"ARPU, cost per GB",Medium-High,,SRC-000001;SRC-000004;SRC-000005,2026-07-10,confidence=0.90 | sources=SRC-000001;SRC-000004;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-008,BSS stack slows new telecom offers,Technology,IND-000003,Telecommunications,IT,BSS,Offer launch blocked by rigid charging/billing stacks.,Long product catalog changes,Legacy BSS coupling,Competitor speed advantage,IT project queues,Delayed offer revenue,High,High,Continuous,High,Simple promos take months in BSS.,Promo seasons,What is average offer lead time?,Offer TTM,,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,Offer TTM,Medium-High,,SRC-000004;SRC-000005,2026-07-10,confidence=0.89 | sources=SRC-000004;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-009,Tower field operations inefficiencies,Operations,IND-000003,Telecommunications,Field Ops,Operations,Site maintenance and energy costs poorly optimized.,"Diesel/energy overruns, long ticket ages",Limited remote monitoring + dispersed sites,Higher opex,Truck rolls,Energy cost spikes,Medium,Medium,Continuous,Medium,Too many truck rolls for routine issues.,"Fuel prices, tenancy growth",What % sites have remote telemetry?,"Truck rolls, energy/site",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"Truck rolls, energy/site",Medium-High,,SRC-000001;SRC-000004,2026-07-10,confidence=0.87 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-010,Unplanned downtime on critical plant assets,Reliability,IND-000001,Manufacturing,Maintenance,Maintenance,Critical machines fail without early warning.,"Breakdowns, rush spare parts",Reactive maintenance culture + limited sensors,Lost production,Emergency work orders,High downtime cost,High,High,Recurring,High,We only know a machine is sick when it stops.,Peak production periods,What is MTBF trend on critical assets?,"OEE, unplanned downtime",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"OEE, unplanned downtime",Medium-High,,SRC-000007;SRC-000001;SRC-000004,2026-07-10,confidence=0.91 | sources=SRC-000007;SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
PAIN-011,Inventory accuracy gaps across plants and DCs,Supply Chain,IND-000001,Manufacturing,Supply Chain,Warehouse / Planning,Book vs physical stock mismatches.,Stockouts with 'available' inventory,"Weak cycle counts, WMS gaps","Missed OTIF, expedites",Firefighting,Expedite freight cost,Medium,High,Continuous,High,"ERP says we have stock, the floor does not.",SKU proliferation,What is inventory accuracy %?,"Inventory accuracy, OTIF",,,Measurable improvement in KPI Affected when addressed with verified solutions,Use-case dependent; require baseline measurement before ROI claim,"Inventory accuracy, OTIF",Medium-High,,SRC-000001;SRC-000004,2026-07-10,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-005-pain | batch=Batch-005 | class=industry_pain_pattern | no_private_client_claim | dps=v1.0
