Risk ID,Risk Name,Risk Type,Probability,Impact,Mitigation,Industry ID,Industry,Description,Data Sources,Last Updated,Notes
RISK-000001,Regulatory Risk — Banking,Regulatory Risk,,,,IND-000002,Banking,World Bank document World Bank document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia … nk document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia,source_ids=SRC-000004; urls=https://documents.worldbank.org/search?q=Produce+Risk+Dataset+—+operational+and+regulatory+risk+Indonesia; published=; retrieved=2026-07-11T06:05:35+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,provenance: source=SRC-000004; published_date=; retrieved_date=2026-07-11T06:05:35+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-A50FB1E3C3AC; append_only=true; extraction=grounded_text; evidence=World Bank document World Bank document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia … nk document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — 
RISK-000002,Risk — Banking,Risk,,,,IND-000002,Banking,World Bank document World Bank document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia … World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia,source_ids=SRC-000004; urls=https://documents.worldbank.org/search?q=Produce+Risk+Dataset+—+operational+and+regulatory+risk+Indonesia; published=; retrieved=2026-07-11T06:05:35+00:00; confidence=0.92; version=acquisition-library-1.0.0,2026-07-11,provenance: source=SRC-000004; published_date=; retrieved_date=2026-07-11T06:05:35+00:00; confidence=0.92; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-A50FB1E3C3AC; append_only=true; extraction=grounded_text; evidence=World Bank document World Bank document World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia … World Bank document related to: Produce Risk Dataset — operational and regulatory risk Indonesia World Bank document related to: Produce Risk Dataset — operational 
RISK-000003,Liquidity Risk — Banking,Liquidity Risk,,,,IND-000002,Banking,"THE EFFECT OF CREDIT RISK, LIQUIDITY RISK AND OPERATIONAL RISK TO PROFITABILITY IN CONVENTIONAL BANKS LISTED ON INDONESIA STOCK EXCHANGE PERIOD 2019-2021 {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"" … ated"":{""date-parts"":[[2023,4,27]],""date-time"":""2023-04-27T21:02:07Z"",""timestamp"":1682629327000},""source"":""Crossref"",""is-referenced-by-count"":1,""title"":[""THE EFFECT OF CREDIT RISK, LIQUIDITY RISK AND OPERATIONAL RISK TO PROFITABILITY IN CONVENTIONAL BANKS LISTED ON INDONESIA STOCK EXCHANGE PERIOD 2019-2021""],""prefix"":""10.18860"",""member"":""8114"",""container-title"":[],""or … .org/works/10.18860/mec-j.v7i1.20512.s4178"", ""checksum"": ""cac0963ec99927ce62faa873de1ccfec5495345c83089b274b9ca52a3fbaeb75"", ""version"": ""2.0"", ""title"": ""THE EFFECT OF CREDIT RISK, LIQUIDITY RISK AND OPERATIONA",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.18860/mec-j.v7i1.20512.s4178; published=; retrieved=2026-07-11T06:05:01+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=; retrieved_date=2026-07-11T06:05:01+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-CAC0963EC999; append_only=true; extraction=grounded_text; evidence=THE EFFECT OF CREDIT RISK, LIQUIDITY RISK AND OPERATIONAL RISK TO PROFITABILITY IN CONVENTIONAL BANKS LISTED ON INDONESIA STOCK EXCHANGE PERIOD 2019-2021 {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"" … ated"":{""date-parts"":[[2023,4,27]],""date-time"":""2023-04-27T21:02:07Z"",""timestamp"":1682629327000},""source"":""Crossref"",""is-referenced-by-count"":1,""title"":[""THE EFFECT OF CREDIT RISK, L"
RISK-000004,Operational Risk — Manufacturing,Operational Risk,,,,IND-000001,Manufacturing,"e"":""additional"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2025]]},""container-title"":[""The Journal of Operational Risk""],""original-title"":[],""deposited"":{""date-parts"":[[2025,8,12]],""date-time"":""2025-08-12T13:50:36Z"",""timestamp"":1755006636000},""score"":1,""resource"":{""primary"":{""URL"":""https:\/\/ … iation\"":[],\""role\"":[{\""role\"":\""author\"",\""vocabulary\"":\""crossref\""}]}],\""member\"":\""8934\"",\""published-online\"":{\""date-parts\"":[[2025]]},\""container-title\"":[\""The Journal of Operational Risk\""],\""original-title\"":[],\""deposited\"":{\""date-parts\"":[[2025,8,12]],\""date-time\"":\""2025-08-12T13:50:36Z\"",\""timestamp\"":1755006636000},\""score\"":1,\""resource\"":{\""primary\""",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.21314/jop.2025.007; published=2025; retrieved=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=2025; retrieved_date=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-FBCB50C20C7B; append_only=true; extraction=grounded_text; evidence=e"":""additional"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2025]]},""container-title"":[""The Journal of Operational Risk""],""original-title"":[],""deposited"":{""date-parts"":[[2025,8,12]],""date-time"":""2025-08-12T13:50:36Z"",""timestamp"":1755006636000},""score"":1,""resource"":{""primary"":{""URL"":""https:\/\/ … iation\"":[],\""role\"":[{\""r"
RISK-000005,Risk — Manufacturing,Risk,,,,IND-000001,Manufacturing,"Risk prevention and regulatory challenges in metaverse trading {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2025,8,15]],""date-tim … ype"":""journal-article"",""created"":{""date-parts"":[[2025,8,12]],""date-time"":""2025-08-12T13:50:36Z"",""timestamp"":1755006636000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Risk prevention and regulatory challenges in metaverse trading""],""prefix"":""10.21314"",""author"":[{""given"":""Xiangbin"",""family"":""Zuo"",""sequence"":""first"",""affiliation"":[],""role"":[{""role"":""a … al"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2025]]},""container-title"":[""The Journal of Operational Risk""],""original-title"":[],""deposited"":{""date-parts"":[[2025,8,12]]",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.21314/jop.2025.007; published=2025; retrieved=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=2025; retrieved_date=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-FBCB50C20C7B; append_only=true; extraction=grounded_text; evidence=Risk prevention and regulatory challenges in metaverse trading {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2025,8,15]],""date-tim … ype"":""journal-article"",""created"":{""date-parts"":[[2025,8,12]],""date-time"":""2025-08-12T13:50:36Z"",""timestamp"":1755006636000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Risk prevention and regulatory ch"
RISK-000006,Risk — Banking,Risk,,,,IND-000002,Banking,"Quantification of regulatory capital for management of operational risk in banks {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2025,9,28]],""date-time"":""2025-09-28T11:05:45Z"",""timestamp"":17590575456 … time"":""2020-12-18T13:44:53Z"",""timestamp"":1608299093000},""source"":""Crossref"",""is-referenced-by-count"":1,""title"":[""Quantification of regulatory capital for management of operational risk in banks""],""prefix"":""10.21314"",""volume"":""15"",""author"":[{""given"":""Naveen"",""family"":""Kumar"",""sequence"":""first"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]},{ … "",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2020,9]]},""container-title"":[""The Journal of Operational",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.21314/jop.2020.247; published=2020; retrieved=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=2020; retrieved_date=2026-07-11T06:05:02+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-8D222A1C1735; append_only=true; extraction=grounded_text; evidence=Quantification of regulatory capital for management of operational risk in banks {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2025,9,28]],""date-time"":""2025-09-28T11:05:45Z"",""timestamp"":17590575456 … time"":""2020-12-18T13:44:53Z"",""timestamp"":1608299093000},""source"":""Crossref"",""is-referenced-by-count"":1,""title"":[""Quantification of regulatory capi"
RISK-000007,Operational Risk — Insurance,Operational Risk,,,"Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""m",IND-000028,Insurance,"Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,4]],""date-time"":""2022-04-04T17:25:00Z"",""timestamp"":16490931 … 22T16:00:55Z"",""timestamp"":1614009655000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital""],""prefix"":""10.21314"",""author"":[{""given"":""Marco"",""family"":""Migueis"",""sequence"":""first"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"": … quence"":""first"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2021]]},""cont",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.21314/jop.2020.25; published=2021; retrieved=2026-07-11T06:05:03+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=2021; retrieved_date=2026-07-11T06:05:03+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-E21924EC1F3D; append_only=true; extraction=grounded_text; evidence=Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,4]],""date-time"":""2022-04-04T17:25:00Z"",""timestamp"":16490931 … 22T16:00:55Z"",""timestamp"":1614009655000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Regulatory arbitrage in th"
RISK-000008,Risk — Insurance,Risk,,,"Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""m",IND-000028,Insurance,"Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,4]],""date-time"":""2022-04-04T17:25:00Z"",""timestamp"":1649093100808 … "",""timestamp"":1614009655000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital""],""prefix"":""10.21314"",""author"":[{""given"":""Marco"",""family"":""Migueis"",""sequence"":""first"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934 … st"",""affiliation"":[],""role"":[{""role"":""author"",""vocabulary"":""crossref""}]}],""member"":""8934"",""published-online"":{""date-parts"":[[2021]]},""container-title"":[",source_ids=SRC-CROSSREF; urls=https://api.crossref.org/works/10.21314/jop.2020.25; published=2021; retrieved=2026-07-11T06:05:03+00:00; confidence=0.89; version=acquisition-library-1.0.0,2026-07-11,"provenance: source=SRC-CROSSREF; published_date=2021; retrieved_date=2026-07-11T06:05:03+00:00; confidence=0.89; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-E21924EC1F3D; append_only=true; extraction=grounded_text; evidence=Regulatory arbitrage in the use of insurance in the new standardized approach for operational risk capital {""status"":""ok"",""message-type"":""work"",""message-version"":""1.0.0"",""message"":{""indexed"":{""date-parts"":[[2022,4,4]],""date-time"":""2022-04-04T17:25:00Z"",""timestamp"":1649093100808 … "",""timestamp"":1614009655000},""source"":""Crossref"",""is-referenced-by-count"":0,""title"":[""Regulatory arbitrage in the use o"
RISK-000009,Climate Risk — Media & Entertainment,Climate Risk,,,,IND-000036,Media & Entertainment,Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalError = console.error; console.error = function(...args) { if (ty … Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalError = console.error; console.error = function(...args) { if (typeof args[0] === 'string' && args[0].in,source_ids=SRC-OPENALEX; urls=https://openalex.org/W1859966534; published=; retrieved=2026-07-11T06:05:05+00:00; confidence=0.87; version=acquisition-library-1.0.0,2026-07-11,provenance: source=SRC-OPENALEX; published_date=; retrieved_date=2026-07-11T06:05:05+00:00; confidence=0.87; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-F406BAA60554; append_only=true; extraction=grounded_text; evidence=Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalError = console.error; console.error = function(...args) { if (ty … Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalEr
RISK-000010,Risk — Media & Entertainment,Risk,,,,IND-000036,Media & Entertainment,Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalError = console.error; console.error = function(...args) { if (typeof args[0] === 'string' && args[0].include,source_ids=SRC-OPENALEX; urls=https://openalex.org/W1859966534; published=; retrieved=2026-07-11T06:05:05+00:00; confidence=0.87; version=acquisition-library-1.0.0,2026-07-11,provenance: source=SRC-OPENALEX; published_date=; retrieved_date=2026-07-11T06:05:05+00:00; confidence=0.87; version=acquisition-library-1.0.0; mission=MIS-COV-RISK_LIB; document=DOC-F406BAA60554; append_only=true; extraction=grounded_text; evidence=Private Sector Engagement in Adaptation to Climate Change: Approaches to Managing Climate Risks OpenAlex // Suppress console errors for ResizeObserver const originalError = console.error; console.error = function(...args) { if (typeof args[0] === 'string' && args[0].include
