Opportunity ID,Company ID,Opportunity Name,Opportunity Type,Industry,Business Unit,Current Situation,Business Challenge,Pain Point,Business Need,Opportunity Description,Proposed Solution,Value Proposition,Estimated Budget,Estimated Revenue,Estimated Gross Margin,Decision Maker,Influencer,Procurement Method,Timeline,Competitors,Win Strategy,Risks,Mitigation Plan,Cross Selling Opportunity,Upselling Opportunity,Probability (%),Opportunity Score,Next Action,Opportunity Status,Owner,Last Updated,Notes
OPP-001,COMP-001,Migrasi Cloud Logistik Terpadu,New Business,Transportasi & Logistik,IT Infrastructure,TMS dan ERP berjalan di server lokal usang,Keterlambatan sinkronisasi data antar cabang,Downtime server menyebabkan truk tertunda berangkat,Stabilitas uptime 99.9% tanpa CAPEX besar,Migrasi 100 VM ke IaaS lokal dengan DRaaS,Managed Cloud IaaS + DRaaS,"""Zero Downtime, Pay as you Grow""",Rp15 Miliar,Rp15 Miliar,35%,CIO,Logistics Ops Manager,Tender Terbuka,Q3 2026,"Telkomsigma, Zettagrid",Tawarkan bandwidth lokal gratis dan SLA 99.99%,Resistensi tim IT internal,Sediakan workshop transisi kompetensi cloud,Cybersecurity SOC,AI Route Optimization,65,78,Presentasi Arsitektur,Proposal Submitted,Tim IT Sales,2026-07-10,Menunggu rilis RFP resmi
OPP-002,COMP-002,PLTS Atap ESCO 10 MWp,Expansion,Manufaktur,Fasilitas,Ketergantungan penuh pada listrik PLN,Tarif listrik tinggi dan tuntutan ESG dari holding,Kehilangan skema net-metering mematikan ROI,PLTS tanpa biaya awal dengan backup baterai,Instalasi PLTS di 3 pabrik dengan skema sewa,Solar EPC + BESS Integration,Diskon utilitas 15% sejak bulan pertama,Rp120 Miliar,Rp120 Miliar,20%,Direktur Operasi,Sustainability Head,Penunjukan Langsung,Q4 2026,"Xurya, Suryadaya",Bundling dengan BESS untuk utilisasi 100%,Izin paralel operasi PLN lambat,Urus perizinan 6 bulan sebelum konstruksi,Audit Energi,Manajemen Karbon,80,88,Negosiasi PPA,Negotiation,Tim Energi,2026-07-09,Persetujuan holding di Jepang turun
OPP-003,COMP-003,BPO Telecollection Automation,New Business,Keuangan (Fintech),Risk Management,Kasus NPL melonjak akibat kebangkrutan nasabah,Tim desk collection internal kurang kapasitas,"Rasio gagal bayar naik, biaya rekrutmen CS mahal",Peningkatan recovery rate secara cost-efficient,Alih daya 500 seat penagihan dengan AI Voicebot,BPO Collection + AI Agent,Peningkatan recovery rate 25% dengan biaya tetap,Rp35 Miliar,Rp35 Miliar,40%,Chief Risk Officer,Procurement,Beauty Contest,Q3 2026,"VADS, Transcosmos",Integrasi AI Agent untuk penagihan bucket awal,Pelanggaran etika penagihan (OJK),Sertifikasi AFPI dan QA monitoring ketat,CX Inbound,Data Analytics,75,85,Proof of Concept AI,Proof of Concept,Tim BPO,2026-07-08,PoC Voicebot berhasil
OPP-004,COMP-004,Inland Depot & Fleet Management,Existing Client,Pertambangan,Supply Chain,Biaya logistik angkut batu bara menggerus margin,Kekurangan armada saat cuaca buruk,Truk sering kosong saat kembali (empty backhaul),Manajemen armada end-to-end yang terpusat,Penyediaan 200 armada hauling + TMS tracking,Dedicated Logistics + FMS,Penurunan biaya logistik per ton 12%,Rp80 Miliar,Rp80 Miliar,18%,VP Supply Chain,Mine Manager,Tender Terbatas,Q1 2027,Ancara Logistics,Komitmen utilisasi armada >90%,Kenaikan BBM subsidi,Klausul eskalasi harga BBM pada kontrak,Heavy Equipment Maintenance,Warehousing,60,72,Site visit,Discovery,Tim Logistik,2026-07-05,Persaingan harga sangat ketat
OPP-005,COMP-005,HRIS & Payroll Outsourcing Nasional,New Business,Ritel,Human Resources,15.000 karyawan dikelola dengan Excel,Sering salah hitung lembur dan denda pajak,"Admin HR kelelahan, compliance UU Cipta Kerja rendah",Otomatisasi penggajian 100% akurat,Pengambilalihan proses payroll untuk seluruh cabang,Payroll BPO + HRIS SaaS,"Akurasi 100%, HR fokus pada pengembangan SDM",Rp10 Miliar,Rp10 Miliar,50%,CHRO,CFO,RFP,Q4 2026,"Gadjian, Pegawe",Jaminan ganti rugi jika terjadi denda pajak,Migrasi data master HR lambat,Tim transisi khusus selama 3 bulan pertama,Tax Outsourcing,E-Learning Platform,85,92,Kirim draf kontrak,Proposal Preparation,Ary Wibowo,2026-07-10,Approval direksi hampir final
OPP-006,COMP-006,Keamanan Siber Zero-Trust,Cross Sell,Teknologi,IT Security,Migrasi cloud selesai tapi security rentan,Ancaman ransomware meningkat di sektor B2B,Khawatir kebocoran data klien yang melanggar UU PDP,Sistem pertahanan proaktif 24/7,Implementasi SOC (Security Operations Center),Managed SOC & EDR,Kepatuhan UU PDP dan perlindungan aset,Rp5 Miliar,Rp5 Miliar,45%,CISO,Head of Infra,Direct Sales,Q3 2026,Lintas Teknologi,Bundling dengan IaaS eksisting (diskon 10%),Positif false yang tinggi mengganggu staf,Tuning algoritma AI selama 1 bulan,Penetration Testing,IT Audit,90,95,Kick-off proyek,Won,Tim IT Sales,2026-07-01,Kontrak ditandatangani
OPP-007,COMP-007,Outsourcing Security & Cleaning (FMCG),New Business,Manufaktur,General Affairs,Mengelola 50 vendor lokal berbeda untuk tiap pabrik,Standardisasi kualitas kebersihan dan keamanan buruk,"Pencurian aset pabrik, SLA kebersihan tidak tercapai",Konsolidasi vendor nasional (Single Point of Contact),Pengadaan 1000 personil satpam & cleaner di 12 pabrik,Facility Management Outsourcing,Efisiensi biaya 15% dan standardisasi ISO,Rp45 Miliar,Rp45 Miliar,15%,General Affairs Dir,Procurement,Tender Terbuka,Q1 2027,"Sapta Sarana, Maleo Raja",Pelatihan Gada Madya gratis untuk komandan regu,Demo buruh saat transisi vendor,Koordinasi dengan serikat pekerja lokal,Pest Control,Driver Outsourcing,50,65,Pendaftaran tender,Qualification,Tim Facility,2026-07-04,Masih tahap prakualifikasi administrasi
OPP-008,COMP-008,Integrasi Jaringan SD-WAN Antar Pulau,New Business,Transportasi & Logistik,IT Network,Koneksi internet kantor cabang di luar Jawa sering putus,Sulit melakukan update status resi pengiriman real-time,Komplain pelanggan tinggi karena data resi delay,Jaringan stabil terpusat untuk 200+ cabang,Implementasi Managed SD-WAN berbasis satelit & fiber,Managed SD-WAN,"Uptime jaringan cabang >99%, manajemen terpusat",Rp20 Miliar,Rp20 Miliar,30%,IT Director,Network Manager,RFP,Q4 2026,"Telkomsel, XL Axiata",Agnostic carrier (bisa pakai banyak ISP),Pemasangan di daerah remote terhambat,Gunakan VSAT sebagai backup primer,Managed WiFi,VoIP Enterprise,70,80,Proof of Concept 5 titik,Proof of Concept,Tim IT Sales,2026-07-06,Uji coba di area Papua berhasil
OPP-009,COMP-009,PLTS Off-Grid untuk Tambang Remote,New Business,Energi,Operasional Tambang,Genset diesel beroperasi 24 jam dengan biaya BBM mahal,Logistik solar ke pedalaman sangat rentan cuaca,Biaya energi (OPEX) menekan laba tambang,Substitusi diesel dengan hybrid surya-baterai,Pembangunan PLTS 5 MW + BESS 10 MWh,Solar Hybrid Microgrid,Reduksi konsumsi solar hingga 60% per tahun,Rp150 Miliar,Rp150 Miliar,25%,CEO Tambang,Head of Engineering,Penunjukan Langsung,Q2 2027,Essens Renewable,Desain heavy-duty tahan debu batu bara,Kendala logistik pengiriman baterai besar,Sewa kapal LCT khusus,O&M Kontrak 10 Tahun,Upgrade BESS,55,70,Studi Kelayakan (FS),Discovery,Tim Energi,2026-07-07,FS memakan waktu 3 bulan
OPP-010,COMP-010,BPO Customer Experience E-Commerce,Existing Client,Teknologi,Customer Service,Volume chat naik 300% saat promo Harbolnas,Aplikasi internal sering crash saat chat membludak,Pelanggan pindah ke toko lain karena lambat dibalas,Skalabilitas agen instan saat peak season,Penambahan 300 agen musiman + Omnichannel CRM,BPO CX + Cloud CRM,"""Scale up and down on demand""",Rp18 Miliar,Rp18 Miliar,22%,VP Operations,CS Manager,Direct Negosiasi,Q3 2026,"VADS, Infomedia",Model harga pay-per-productive-hour,Proses training agen musiman terlalu lama,E-learning intensif 1 minggu sebelum promo,Telemarketing,Data Entry BPO,85,90,Finalisasi kuota agen,Negotiation,Tim BPO,2026-07-10,Menunggu approval budget promo
