Industry ID,Industry Name,Industry Category,Industry Description,Business Characteristics,Typical Company Size,Average Employee Range,Typical Annual Revenue,Main Business Processes,Common Departments,Digital Maturity Level,Common Technologies,Common Business Challenges,Common Pain Points,Business Goals,Buying Triggers,Buying Criteria,Typical Decision Makers,Procurement Method,Average Sales Cycle,Budget Characteristics,Data Sources,Notes,Confidence,Retrieved At,Source URL,Version
IND-000001,Tourism & Travel Services,Services,"Industry sector identified in trusted source document. Evidence: Indonesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Indonesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Abstract The food culture of Indonesia is shaped by several factors such as nature, … donesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Indonesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Abstract The food culture of Indonesia is shaped by several factors such as nature, history, and culture. With its enormous geographic and cultural diversity across the archipelag … and cultural diversity across the archipelagos, it is evident that Indonesian cuisine is rich in variety and taste. As such, food can be utilised as a strategic means to boost the tourism industry of the country. In the past 5 years, the Indonesian government has given a great support for the development of culinary tourism as one special interest tourism sector Ab",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W2973921651; published=2019-09-18; retrieved=2026-08-12T23:58:11+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=tourism; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2019-09-18; retrieved_date=2026-08-12T23:58:11+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7A53E6CD2239; entity=Tourism & Travel Services; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=Indonesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Indonesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Abstract The food culture of Indonesia is shaped by several factors such as nature, … donesian food culture mapping: a starter contribution to promote Indonesian culinary tourism Indonesian food culture mapping",,,,
IND-000002,Waste Management & Environmental Services,Services,"Industry sector identified in trusted source document. Evidence: Strengthening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Strengthening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Circular economy, Municipal solid … waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Strengthening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Circular economy, Municipal solid waste, Work (physics), Business, Waste management, Sustainable development, China, Resource (disambiguation) Circular … thening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Circular economy, Municipal solid waste, Work (physics), Business, Waste management, Sustainable development, China, Resource (disambiguation) Circular economy, Municipal solid waste, Work (physics), Business, Waste management, Sustainable development, China, Res",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W4309695120; published=2022-11-22; retrieved=2026-08-12T23:58:24+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=waste management; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2022-11-22; retrieved_date=2026-08-12T23:58:24+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-EBE5AD43307D; entity=Waste Management & Environmental Services; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=Strengthening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Strengthening waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Circular economy, Municipal solid … waste recycling industry in Malang (Indonesia): Lessons from waste management in the era of Industry 4.0 Strengthening waste r",,,,
IND-000003,Education Services,Services,"Industry sector identified in trusted source document. Evidence: givet - 1. okt. 2020 Finansiering This research was supported by a Grant from SDU - Direktionens Strategiske Pulje for project titled “SDG- Tools”, Ministry of Research and Higher Education, Indonesia under International Research Collaboration World Class Professor Grant 2019, and supported by Universitas Muhammadiyah Magelang, Indonesia . Dokumenter og links 10.1016",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W3026378761; published=2020-05-23; retrieved=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=education; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2020-05-23; retrieved_date=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7EA36A8AE842; entity=Education Services; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=givet - 1. okt. 2020 Finansiering This research was supported by a Grant from SDU - Direktionens Strategiske Pulje for project titled “SDG- Tools”, Ministry of Research and Higher Education, Indonesia under International Research Collaboration World Class Professor Grant 2019, and supported by Universitas Muhammadiyah Magelang, Indonesia . Dokumenter og links 10.1016",,,,
IND-000004,Maritime & Shipping,Services,"Industry sector identified in trusted source document. Evidence: h , Kannan Govindan * , Rochiyati Murniningsih , Agus Setiawan * Kontaktforfatter SDU Centre for Sustainable Supply Chain Engineering Institut for Teknologi og Innovation Shanghai Maritime University Publikation : Bidrag til tidsskrift › Tidsskriftartikel › Forskning › peer review 7375 Downloads (Pure) Oversigt Fingeraftryk Abstract Indonesia is facing a number of i",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W3026378761; published=2020-05-23; retrieved=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=maritime; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2020-05-23; retrieved_date=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7EA36A8AE842; entity=Maritime & Shipping; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=h , Kannan Govindan * , Rochiyati Murniningsih , Agus Setiawan * Kontaktforfatter SDU Centre for Sustainable Supply Chain Engineering Institut for Teknologi og Innovation Shanghai Maritime University Publikation : Bidrag til tidsskrift › Tidsskriftartikel › Forskning › peer review 7375 Downloads (Pure) Oversigt Fingeraftryk Abstract Indonesia is facing a number of i",,,,
IND-000005,Mining & Quarrying,Services,"Industry sector identified in trusted source document. Evidence: gerprint Engine Alt indhold på dette websted: Copyright © 2026 Syddansk Universitet, dets licensgivere og bidragydere. Alle rettigheder forbeholdes, herunder dem til tekst- og datamining, AI-træning og lignende teknologier. For alt Open Access indhold gælder de relevante licensbetingelser. Vi bruger cookies til at hjælpe med at tilvejebringe og forbedre vores serv",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W3026378761; published=2020-05-23; retrieved=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=mining; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2020-05-23; retrieved_date=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7EA36A8AE842; entity=Mining & Quarrying; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=gerprint Engine Alt indhold på dette websted: Copyright © 2026 Syddansk Universitet, dets licensgivere og bidragydere. Alle rettigheder forbeholdes, herunder dem til tekst- og datamining, AI-træning og lignende teknologier. For alt Open Access indhold gælder de relevante licensbetingelser. Vi bruger cookies til at hjælpe med at tilvejebringe og forbedre vores serv",,,,
IND-000006,Transportation & Logistics,Services,"Industry sector identified in trusted source document. Evidence: tartikel › Forskning › peer review 7375 Downloads (Pure) Oversigt Fingeraftryk Abstract Indonesia is facing a number of independently managed challenges related to the collection, transportation, processing (composting, recycling), and landfill dependence on waste management. An intervention is needed to bring stakeholders together to solve these waste challenges. The obj … ystem to achieve sustainable development goals: A case study of Indonesia"", abstract = ""Indonesia is facing a number of independently managed challenges related to the collection, transportation, processing (composting, recycling), and landfill dependence on waste management. An intervention is needed to bring stakeholders together to solve these waste challenges. The obj … nan AU - Murniningsih, Rochiyati AU - Setiawan, Agus PY - 2020/10/1 Y1 - 2020/10/1 N2 - Indonesia is facing a number of independently managed challenges related to the collection, transportation, processing (composting, recycling), and landfill dependence on waste management. An intervention is needed to bring stakeholders together to solve these waste challenges. The obj",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W3026378761; published=2020-05-23; retrieved=2026-08-12T23:58:36+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=transportation; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2020-05-23; retrieved_date=2026-08-12T23:58:36+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7EA36A8AE842; entity=Transportation & Logistics; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=tartikel › Forskning › peer review 7375 Downloads (Pure) Oversigt Fingeraftryk Abstract Indonesia is facing a number of independently managed challenges related to the collection, transportation, processing (composting, recycling), and landfill dependence on waste management. An intervention is needed to bring stakeholders together to solve these waste challenges. The obj … ystem to achieve sustai",,,,
IND-000007,Water & Sanitation Utilities,Services,"Industry sector identified in trusted source document. Evidence: through the use of Internet of Thing (IoT) as the integrator. This study contributes to the sustainable development goals (SDG's) such as Good health, and wellbeing (SDG 3); Clean water and sanitation (SDG 6); Decent Work and Economic Growth (SDG 8); Responsible Consumption and Production (SDG 12) and Climate Action (SDG 13). The study proposes a new design of sm",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W3026378761; published=2020-05-23; retrieved=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=water; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2020-05-23; retrieved_date=2026-08-12T23:58:36+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-7EA36A8AE842; entity=Water & Sanitation Utilities; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=through the use of Internet of Thing (IoT) as the integrator. This study contributes to the sustainable development goals (SDG's) such as Good health, and wellbeing (SDG 3); Clean water and sanitation (SDG 6); Decent Work and Economic Growth (SDG 8); Responsible Consumption and Production (SDG 12) and Climate Action (SDG 13). The study proposes a new design of sm",,,,
IND-000008,Textiles & Apparel,Services,"Industry sector identified in trusted source document. Evidence: A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia As the global competition tightens, government and privat … A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia As the global competition tightens, government and private sectors seek for solutions to increase the competitiveness of the textile and clothing … 0 Adoption on Textile and Clothing Sector in Indonesia As the global competition tightens, government and private sectors seek for solutions to increase the competitiveness of the textile and clothing industry. Industry 4.0 technology has been considered to bring significant potential by improving efficiency and reducing cost. Despite its potential, the implementat",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W2989866429; published=2019-09-27; retrieved=2026-08-13T00:02:09+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=textile; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2019-09-27; retrieved_date=2026-08-13T00:02:09+00:00; confidence=0.92; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-1D57F420AD4F; entity=Textiles & Apparel; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia As the global competition tightens, government and privat … A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sector in Indonesia A Conceptualization of Industry 4.0 Adoption on Textile and Clothing Sect",,,,
IND-000009,Creative Economy,Services,"Industry sector identified in trusted source document. Evidence: on analysis, is applied. The results show that, from macroscopic view, creative Concepts: Decomposition, National economy, Economic analysis, Creative industries, Economic sector, Creative economy, Structural change, National accounts",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W2090289962; published=2012-12-01; retrieved=2026-08-13T00:02:50+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=creative economy; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2012-12-01; retrieved_date=2026-08-13T00:02:50+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-0955E1D00852; entity=Creative Economy; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=on analysis, is applied. The results show that, from macroscopic view, creative Concepts: Decomposition, National economy, Economic analysis, Creative industries, Economic sector, Creative economy, Structural change, National accounts",,,,
IND-000010,Palm Oil & Plantations,Services,"Industry sector identified in trusted source document. Evidence: ncessions in Indonesia. Forest loss in all industrial concessions, including logging concession Concepts: Deforestation (computer science), Logging, Illegal logging, Agroforestry, Palm oil, Carbon stock, Environmental science, Forestry",,,,,,,,,,,,,,,,,,source_ids=SRC-OPENALEX; urls=https://openalex.org/W1520375636; published=2014-04-03; retrieved=2026-08-13T00:03:45+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; country=Indonesia; matched_alias=palm oil; discovery_provider=connector,"provenance: source=SRC-OPENALEX; published_date=2014-04-03; retrieved_date=2026-08-13T00:03:45+00:00; confidence=0.84; version=acquisition-grounded-2.0.0; mission=MIS-20260812-BB1FF2; document=DOC-021A8A9B5C4E; entity=Palm Oil & Plantations; discovery_provider=connector; append_only=true; extraction=grounded_text; evidence=ncessions in Indonesia. Forest loss in all industrial concessions, including logging concession Concepts: Deforestation (computer science), Logging, Illegal logging, Agroforestry, Palm oil, Carbon stock, Environmental science, Forestry",,,,
