Company ID,Company Name,Alias,Industry ID,Industry,Sub Industry,Company Type,Headquarters,Country,Website,LinkedIn,Company Size,Employee Count,Annual Revenue Estimate,Business Description,Main Products/Services,Current Technologies,Branch Count,Operating Regions,Decision Maker Level,Existing Vendor,Existing Relationship,Potential Score,Strategic Priority,Business Challenges,Known Pain Points,Potential Needs,Cross Selling Potential,Upselling Potential,Risk Level,Last Updated,Data Source,Notes
COMP-001,PT Jalur Nugraha Ekakurir,JNE,IND-004,Transportasi & Logistik,Ekspedisi,Swasta,Jakarta,Indonesia,jne.co.id,linkedin.com/company/jne,Enterprise,40000+,Rp15 Triliun,Raksasa logistik ekspres domestik terbesar,"Pengiriman Paket, Kargo, Fulfillment","Oracle ERP, Custom TMS, AWS",8000+,Seluruh Indonesia,C-Level,"Zettagrid, VADS",Prospect,95,High,Mempertahankan efisiensi operasional skala masif,Sistem TMS kewalahan saat Harbolnas,"IaaS Cloud, BPO Call Center",Sangat Tinggi,Sangat Tinggi,Low,2026-07-01,"Website, Media",Fokus pada otomatisasi gudang
COMP-002,PT Chandra Asri Pacific Tbk,Chandra Asri,IND-001,Manufaktur,Petrokimia,Tbk,Jakarta,Indonesia,chandra-asri.com,linkedin.com/company/chandraasri,Enterprise,2000+,Rp40 Triliun,Produsen petrokimia terintegrasi,"Olefin, Polyolefin",SAP S/4HANA,5,Jawa Barat,Director,"Elitery, SPIL",Existing Client,88,High,Transisi energi dan dekarbonisasi operasional pabrik,Ketergantungan pada listrik grid (fosil) PLN,"PLTS Skala Besar, BESS",Tinggi,Medium,Medium,2026-07-02,Laporan Keberlanjutan,Memiliki target Net Zero kuat
COMP-003,PT Kredit Utama Fintech Indonesia,Rupiah Cepat,IND-002,Teknologi,P2P Lending,PMA,Jakarta,Indonesia,rupiahcepat.co.id,linkedin.com/company/rupiahcepat,Medium,300+,Rp1 Triliun,Platform pinjaman online (P2P) berizin OJK,Pinjaman Tunai B2C,"AWS, Microservices",1,Nasional (Digital),VP / Director,"Transcosmos, DIKA",Prospect,90,High,Menekan angka NPL akibat makroekonomi,"Rasio gagal bayar naik, debt collector internal kurang","BPO Telecollection, AI Voicebot",Tinggi,Sangat Tinggi,High,2026-07-09,Analisis Data Pasar,Banyak pengajuan restrukturisasi dari klien B2C
COMP-004,PT Bayan Resources Tbk,Bayan,IND-003,Energi,Tambang Batu Bara,Tbk,Jakarta,Indonesia,bayan.com.sg,linkedin.com/company/bayan-resources,Enterprise,3000+,Rp30 Triliun,Konglomerasi eksplorasi dan produksi batu bara,Batu Bara Termal,SAP,10,Kalimantan,Director,"Ancara, Pelita Logistik",Prospect,85,High,Menekan biaya logistik pengangkutan,"Biaya hauling (angkutan) mahal, efisiensi rendah","Logistik Terpadu, FMS, PLTS Off-Grid",Medium,Tinggi,Medium,2026-07-05,Laporan Tahunan,Margin laba sedang tinggi
COMP-005,PT Mitra Adiperkasa Tbk,MAP,IND-005,Ritel,Ritel Gaya Hidup,Tbk,Jakarta,Indonesia,map.co.id,linkedin.com/company/mitra-adiperkasa,Enterprise,25000+,Rp25 Triliun,Pengelola ratusan merek ritel global,"Fashion, F&B, Dept Store","Lokal HRIS, Azure",2000+,Seluruh Indonesia,CHRO,"Gadjian, SAP",Prospect,92,High,Manajemen SDM dengan tingkat turnover tinggi di ritel,"Kesalahan hitung payroll, denda telat bayar pajak","Payroll Outsourcing, BPO Rekrutmen",Sangat Tinggi,Tinggi,Low,2026-07-08,Berita Industri,Sangat terbuka pada outsourcing efisiensi
COMP-006,PT Bank Raya Indonesia Tbk,Bank Raya,IND-006,Keuangan,Perbankan Digital,Tbk,Jakarta,Indonesia,bankraya.co.id,linkedin.com/company/bank-raya,Enterprise,1000+,Rp3 Triliun,Bank digital anak usaha BUMN,"Tabungan Digital, Pinjaman","Google Cloud, Kubernetes",15,Nasional (Digital),CIO,Telkomsigma,Existing Client,80,Medium,Keamanan transaksi digital,Serangan siber ransomware dan phishing,"Managed Security (SOC), Penetration Testing",Medium,Tinggi,High,2026-07-03,Website,Mengutamakan vendor bersertifikasi ISO 27001
COMP-007,PT Indofood CBP Sukses Makmur Tbk,ICBP,IND-001,Manufaktur,FMCG,Tbk,Jakarta,Indonesia,indofoodcbp.com,linkedin.com/company/indofood,Enterprise,35000+,Rp60 Triliun,Produsen mi instan dan makanan minuman,"Indomie, Susu, Bumbu","SAP, On-Premise Server",50+,Global,General Affairs Dir,"Sapta Sarana, ISS",Prospect,85,Medium,Standardisasi fasilitas operasional di puluhan pabrik,Vendor cleaning & security terlalu banyak dan standar beda,Facility Mgmt Outsourcing (Nasional),Tinggi,Medium,Low,2026-07-04,Laporan Tahunan,Menuntut SLA kebersihan tingkat food-grade
COMP-008,PT Citra Van Titipan Kilat,TIKI,IND-004,Transportasi & Logistik,Ekspedisi,Swasta,Jakarta,Indonesia,tiki.id,linkedin.com/company/tiki,Enterprise,6000+,Rp5 Triliun,Perusahaan logistik tertua di Indonesia,"SDS, ONS, REG Delivery",Lokal ERP,500+,Seluruh Indonesia,IT Director,Lintas Teknologi,Prospect,82,High,Modernisasi infrastruktur jaringan cabang,Koneksi internet cabang di daerah terpencil lambat/putus,"Managed SD-WAN, Cloud IaaS",Medium,Tinggi,Medium,2026-07-06,"Website, Asperindo",Sedang transformasi digital agresif
COMP-009,PT Adaro Energy Indonesia Tbk,Adaro,IND-003,Energi,Tambang Batu Bara,Tbk,Jakarta,Indonesia,adaro.com,linkedin.com/company/adaro,Enterprise,10000+,Rp50 Triliun,Perusahaan energi dan tambang terintegrasi,"Batu Bara, Logistik",SAP S/4HANA,20,"Kalimantan, Sumatra",Director,"Pelita Logistik, B-Log",Prospect,88,High,Efisiensi energi pada wilayah operasional terpencil,Ketergantungan genset diesel berbiaya mahal di site tambang,"PLTS Off-Grid Hybrid, BESS",Tinggi,Tinggi,Medium,2026-07-07,"RUPTL, Berita",Fokus kuat pada transisi ke Adaro Green
COMP-010,PT GoTo Gojek Tokopedia Tbk,GoTo,IND-002,Teknologi,Ekosistem Digital,Tbk,Jakarta,Indonesia,gotocompany.com,linkedin.com/company/gotogroup,Enterprise,8000+,Rp14 Triliun,"Ekosistem ride-hailing, e-commerce, dan fintech","Gojek, Tokopedia, GoPay","GCP, AWS",10+,Asia Tenggara,VP Operations,"Infomedia, Teleperformance",Existing Client,95,High,Menjaga efisiensi burn rate namun CX tetap tinggi,Biaya agen CS mahal saat tidak peak season,BPO Omnichannel berbasis AI (Pay-per-use),Sangat Tinggi,Sangat Tinggi,Low,2026-07-10,Laporan Keuangan,Sangat reseptif terhadap solusi AI efisiensi
