Framework ID,Framework Name,Framework Category,Description,Stages,Use Cases,Related Domains,Last Updated,Notes
FW-001,PDCA (Plan-Do-Check-Act),Continuous Improvement,Iterative four-step management method for continuous improvement of processes and products.,Plan; Do; Check; Act,"Ops excellence, quality, service improvement",business_development,2026-07-10,confidence=0.92 | sources=SRC-000005;SRC-000007 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public domain management method widely documented in quality literature. | dps=v1.0 | overview_only_not_full_standard_text
FW-002,DMAIC,Six Sigma / Quality,Define-Measure-Analyze-Improve-Control problem-solving framework for process variation reduction.,Define; Measure; Analyze; Improve; Control,"Quality, manufacturing, process excellence",business_development,2026-07-10,confidence=0.91 | sources=SRC-000007;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Standard Six Sigma methodology taught in industry quality programs. | dps=v1.0 | overview_only_not_full_standard_text
FW-003,ITIL Service Value System (overview),IT Service Management,IT service management framework emphasizing value co-creation through practices and governance.,Guiding principles; Governance; Service value chain; Practices; Continual improvement,"IT operations, service desks, AMS",business_development,2026-07-10,confidence=0.90 | sources=SRC-000005;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public ITSM framework concepts used globally in IT ops. | dps=v1.0 | overview_only_not_full_standard_text
FW-004,COBIT (governance objectives overview),IT Governance,Governance and management objectives framework for enterprise IT governance alignment.,Evaluate-Direct-Monitor; Align-Plan-Organize; Build-Acquire-Implement; Deliver-Service-Support; Monitor-Evaluate-Assess,"IT governance, risk, compliance",business_development,2026-07-10,confidence=0.88 | sources=SRC-000005;SRC-000010 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public ISACA COBIT conceptual structure for IT governance. | dps=v1.0 | overview_only_not_full_standard_text
FW-005,NIST Cybersecurity Framework (core),Cybersecurity,Identify-Protect-Detect-Respond-Recover functions for cybersecurity risk management.,Identify; Protect; Detect; Respond; Recover,"Security programs, SOC design",business_development,2026-07-10,confidence=0.93 | sources=SRC-000010;SRC-000004;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public NIST CSF structure widely referenced in security programs. | dps=v1.0 | overview_only_not_full_standard_text
FW-006,Zero Trust Architecture principles,Cybersecurity,"Never trust, always verify access model with continuous validation.",Identity; Device; Network; Application; Data; Visibility & analytics,"ZTNA programs, hybrid cloud security",business_development,2026-07-10,confidence=0.90 | sources=SRC-000010;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public zero trust principles from standards bodies and security guidance. | dps=v1.0 | overview_only_not_full_standard_text
FW-007,ISO 9001 quality management principles (overview),Quality Management,"Customer focus, leadership, engagement, process approach, improvement, evidence-based decisions, relationship management.",Process approach; Risk-based thinking; PDCA; Documented information,QMS design for manufacturers/services,business_development,2026-07-10,confidence=0.91 | sources=SRC-000007;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public ISO 9001 principle-level concepts (not a substitute for licensed full text). | dps=v1.0 | overview_only_not_full_standard_text
FW-008,ISO 27001 ISMS cycle (overview),Information Security,Plan-implement-check-act cycle for information security management systems.,Context; Leadership; Planning; Support; Operation; Performance evaluation; Improvement,ISMS programs,business_development,2026-07-10,confidence=0.90 | sources=SRC-000010;SRC-000005 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public ISO 27001 high-level structure concepts. | dps=v1.0 | overview_only_not_full_standard_text
FW-009,TOGAF ADM (high-level),Enterprise Architecture,Architecture Development Method phases for enterprise architecture practice.,Preliminary; A Vision; B Business; C Information Systems; D Technology; E Opportunities; F Migration; G Implementation Governance; H Change Management,"EA programs, core modernization",business_development,2026-07-10,confidence=0.87 | sources=SRC-000005;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public TOGAF ADM phase names commonly referenced in EA practice. | dps=v1.0 | overview_only_not_full_standard_text
FW-010,Business Model Canvas,Strategy,Nine-block canvas for describing business models.,Customer Segments; Value Propositions; Channels; Customer Relationships; Revenue Streams; Key Resources; Key Activities; Key Partnerships; Cost Structure,"Strategy workshops, product discovery",business_development,2026-07-10,confidence=0.90 | sources=SRC-000005;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Widely published strategy canvas concept. | dps=v1.0 | overview_only_not_full_standard_text
FW-011,Jobs-to-be-Done (JTBD),Product Strategy,Customer progress framing for product and solution design.,Job statement; Forces of progress; Desired outcomes,"Product discovery, solution design",business_development,2026-07-10,confidence=0.86 | sources=SRC-000005;SRC-000009 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-007-framework | batch=Batch-007 | Public product strategy framing used in industry practice. | dps=v1.0 | overview_only_not_full_standard_text
